Title,Description,Details,Filename,Preliminary assessment: Potentially relevant?,Reviewer,Final inclusion?,Type of PC,Arm,Number of point estimates per outcome,Dichotomisation threshold(s) (%),Number of patients assumed in computing point estimate,Number of responses for point estimate,Exact point estimate(s) (%),95% confidence interval(s) reported,Reported confidence interval(s) (%),Number of bars clipped,Clip point (%)
Daily Pomegranate Intake Has No Impact on PSA Levels in Patients with Advanced Prostate Cancer - Results of a Phase IIb Randomized Controlled Trial.,"Stenner-Liewen F, Liewen H, Cathomas R, Renner C, Petrausch U, Sulser T, Spanaus K, Seifert HH, Strebel RT, Knuth A, Samaras P, Müntener M.",Journal of Cancer. 2013 Aug 29; 4(7): 597-605,Stenner-Liewen (2013) Journal of Cancer,Yes,JW,Yes,PC,1,2,-50,46,0,0,No,,0,
Daily Pomegranate Intake Has No Impact on PSA Levels in Patients with Advanced Prostate Cancer - Results of a Phase IIb Randomized Controlled Trial.,"Stenner-Liewen F, Liewen H, Cathomas R, Renner C, Petrausch U, Sulser T, Spanaus K, Seifert HH, Strebel RT, Knuth A, Samaras P, Müntener M.",Journal of Cancer. 2013 Aug 29; 4(7): 597-605,Stenner-Liewen (2013) Journal of Cancer,Yes,JW,Yes,PC,2,2,-50,48,0,0,No,,0,
"Phase I Trial of the Combination of Docetaxel, Prednisone, and Pasireotide in Metastatic Castrate-Resistant Prostate Cancer.","Thakur MK, Heilbrun L, Dobson K, Boerner J, Stark K, Li J, Smith D, Heath E, Fontana J, Vaishampayan U.",Clinical genitourinary cancer. 2018 Feb 13; 16(3): e695-e703,Thakur (2018) Clinical Genitourinary Cancer,Yes,JW,Yes,mCRPC,1,1,-50,18,9,50,Yes,"(36,64)",0,
A phase I trial of mushroom powder in patients with biochemically recurrent prostate cancer: roles of cytokines and myeloid-derived suppressor cells (MDSCs) for Agaricus bisporus induced PSA responses.,"Twardowski P, Kanaya N, Frankel P, Synold T, Ruel C, Pal SK, Junqueira M, Prajapati M, Nguyen T, Tryon P, Chen S.",Cancer. 2015 May 18; 121(17): 2942-2950,Twardowski (2015) Cancer,Yes,JW,Yes,Recurrent PC,1,1,-50,36,4,11.11111111,Yes,"(4,26)",4,100
Radiation dosimetry and first therapy results with a 124I/131I-labeled small molecule (MIP-1095) targeting PSMA for prostate cancer therapy.,"Zechmann CM, Afshar-Oromieh A, Armor T, Stubbs JB, Mier W, Hadaschik B, Joyal J, Kopka K, Debus J, Babich JW, Haberkorn U.",European Journal of Nuclear Medicine and Molecular Imaging. 2014 Feb 28; 41(7): 1280-1292,Zechmann (2014) European Journal of Nuclear Medicine and Molecular Imaging,Yes,JW,Yes,mCRPC,1,1,-50,25,17,68,No,,0,
Clinical Significance of Androgen Receptor Splice Variant-7 mRNA Detection in Circulating Tumor Cells of Men With Metastatic Castration-Resistant Prostate Cancer Treated With First- and Second-Line Abiraterone and Enzalutamide.,"Antonarakis ES, Lu C, Luber B, Wang H, Chen Y, Zhu Y, Silberstein JL, Taylor MN, Maughan BL, Denmeade SR, Pienta KJ, Paller CJ, Carducci MA, Eisenberger MA, Luo J.",Journal of Clinical Oncology. 2017 Apr 6; 35(19): 2149-2156,,Yes,JW,No,,,,,,,,,,,
Long-term use of dasatinib in patients with metastatic castration-resistant prostate cancer after receiving the combination of dasatinib and docetaxel.,"Araujo JC, Trudel GC, Paliwal P.",Cancer Management and Research. 2013 Mar 9; 6: 25-30,,Yes,JW,No,,,,,,,,,,,
Predictors of survival outcomes in native sub Saharan black men newly diagnosed with metastatic prostate cancer.,Bello JO.,BMC Urology. 2017 May 30; 17: 39,,Yes,JW,No,,,,,,,,,,,
Low-dose diethylstilbestrol for the treatment of advanced prostate cancer.,"Clemons J, Glodé LM, Gao D, Flaig TW.",Urologic oncology. 2011 Jul 27; 31(2): 198-204,,Yes,JW,No,,,,,,,,,,,
Favourable response of serum prostate-specific antigen to conjugated oestrogen in castrate-resistant prostate cancer in Jamaica.,"Condappa A, Gossell-Williams M, Aiken W.",ecancermedicalscience. 2018 Apr 24; 12: 829,,Yes,JW,No,,,,,,,,,,,
Plasma Androgen Receptor and Docetaxel for Metastatic Castration-resistant Prostate Cancer.,"Conteduca V, Jayaram A, Romero-Laorden N, Wetterskog D, Salvi S, Gurioli G, Scarpi E, Castro E, Marin-Aguilera M, Lolli C, Schepisi G, Maugeri A, Wingate A, Farolfi A, Casadio V, Medina A, Puente J, Vidal MJ, Morales-Barrera R, Villa-Guzmán JC, Hernando S, Rodriguez-Vida A, González-del-Alba A, Mellado B, Gonzalez-Billalabeitia E, Olmos D, Attard G, De Giorgi U.",European Urology. 2019 Mar; 75(3): 368-373,,Yes,JW,No,,,,,,,,,,,
177Lu-PSMA radioligand therapy of predominant lymph node metastatic prostate cancer.,"Edler von Eyben F, Singh A, Zhang J, Nipsch K, Meyrick D, Lenzo N, Kairemo K, Joensuu T, Virgolini I, Soydal C, Kulkarni HR, Baum RP.",Oncotarget. 2019 Mar 29; 10(25): 2451-2461,,Yes,JW,No,,,,,,,,,,,
Prognostic significance of grade 3/4 neutropenia in Japanese prostate cancer patients treated with cabazitaxel.,"Kosaka T, Shinojima T, Morita S, Oya M.",Cancer Science. 2018 Apr 10; 109(5): 1570-1575,,Yes,JW,No,,,,,,,,,,,
